,summary,title,category
285,"Take part in city wide Pride events, marches and rallies! Volunteers are needed to represent Queens Pride House at events all through the month of June. Sign up for a training today!",Pride Is Just Around the Corner! Get Involved Now!,Strengthening Communities
286,"Help water and care for the 70,000 new street trees that have been planted across New York City! Join the MillionTreesNYC Stewardship Corps and help keep New York City GREEN by coming to a free MillionTreesNYC stewardship workshop",Tree Care Workshop - Queens 3/20,Environment
287,A walk in Riverside Park on Sun. June 5th to raise funds for the NYCHC  and the National Hemophilia Foundation. The New York City Hemophilia Walk was the first and is still the largest of the Hemophilia Walks held by NHF across the country. Together these walks represent NHF’s largest events.,NYC Hemophilia Walk 2011,Strengthening Communities
288,"SMART Recovery NYC has a solid program for those suffering from addictive behavior problems. We use a range of cognitive-behavioral techniques to manage urges, modulate emotions and problem solve.",Help Us With Outreach,Education
289,"The New York Legal Assistance (NYLAG), a non-profit law firm based in New York City, is recruiting volunteers for its Consumer Protection Law Project.",Volunteer for Consumer Protection Law Project,Helping Neighbors in Need
290,A bi-weekly nutrition workshop for low-income seniors who reside in Brooklyn. The goal of these workshops is to focus on different aspects of nutrition each time and give seniors useful and practical information about how they can improve their daily diets.,Russian speaking volunteer needed to work with Seniors,Helping Neighbors in Need
291,NYAWC is seeking a volunteer to assist our busy development department and staff our administrative office’s welcome desk.,Development and Welcome Desk Volunteer,Strengthening Communities
292,BCA is searching for an intern for its administrative office in New York City. Please see the full description for further details.,Administrative Intern,Strengthening Communities
293,General Office work clerical/research,Clerical Support,
294,Do you Love Working with Books? Help a Brooklyn elementary school sort and organize their books.,Do you Love Books?,Strengthening Communities
295,"Scheduling, updating, organizing website for New York Futsal's camps, leagues, clinics and after school programs. Someone who is creative and likes making websites functional while looking great, while receiving the title as Website Coordinator/ Manager. Also, person can work mostly from home!",IT website Coord/manager for New York Futsal (p/t),Strengthening Communities
296,"Date: Sunday,  June 5, 2011: Manhattan – Battery Park",Liver Life Walk 2011,Strengthening Communities
297,TBL is now seeking volunteers to apply for the Fall 2011-Spring 2012 academic year.,Tomorrow's Business Leaders: Teach the basics of business to NYC high schoolers,Education
298,"PAL IS 218 Beacon 1st Annual Community Health & Education Fair.  The fair will be held Saturday, June 25, 2011 from 11 AM to 3 PM. The fair will include health and career information, community performers, local entrepreneurs, and children’s entertainment. We have multiple volunteer opportunities!",Special Event Volunteers (Brooklyn),Health
299,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the Jackie Robinson Recreation Center (89 Bradhurst Ave., NY, NY 10031), accessible by A, B, C, D trains.",Manhattan/Jackie Robinson Rec Center: Parent & Child Fitness Instructor,Health
300,"A one-pager communicates concise overview information about an organization, its mission, and/or the programs it runs. This brief document provides key messaging about an organization, its specific initiatives, and its strategic direction to target audiences, stakeholders, or the media",One-Pager for Professionals,Strengthening Communities
301,Recycling in the city has declined and we need YOU to help get NYC recycling again!,Get the tools to volunteer for Recycling!,Environment
302,The International Youth Leadership Institute supports active community leadership and global understanding through Seminars and Travel Programs in Africa and Latin America,Latino and African American Youth Serving Program,Education
303,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Teach Adults and Kids how to Ride Bikes!,Health
304,HEAF seeks mentors for our NYCService-funded Middle School Mentoring Initiative. Mentors will be placed with small groups of students at Renaissance Military Leadership Academy in Harlem in order to positively impact the students’ academic and emotional development in pursuit of college education.,Help Raise College Awareness- Become a Middle School Mentor!,Education
305,"Work one-on-one with a First-Generation College Student to develop a life plan and provide general career guidance.  Support, guide and advise students throughout their Fellowship.",Mentor First-Generation College Students,Education
306,"Lifebeat, a non-profit dedicated to HIV/AIDS prevention through music seeks TWO (2) dedicated interns with lots of energy to assist us this winter 2011 through summer 2011.",Lifebeat Intern - General,Strengthening Communities
307,"Please joins us and the PAL kids for lunch, followed by roller skating in Riverside Park. It's a great way to spend a Saturday afternoon with a wonderful group of kids! Volunteers are kindly asked to pay for their expenses on the day.",Riverbank Roller Skating Rink ,
308,This is a good opportunity for someone who either has non-profit experience or who would like to learn the workings of a non-profit organization up close.,Assistant to Founder and Executive Director,Strengthening Communities
309,"Design on a Dime is New York City’s most popular interior design benefit event. The seventh anniversary features more than 50 of the world’s top interior designers, who create room vignettes with merchandise which is donated and then sold to provide revenue for our client services",Volunteer For Housing Works' Design On A Dime 2011,
310,This volunteer opportunity allows you to work in a garden zone of your choice within Hudson River Park.  You’ll be working with a Lead Gardener on a regular basis to help maintain a specific area.,Garden Assistant Volunteer Program,Strengthening Communities
311,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Girl Scout Series - Brooklyn,Strengthening Communities
312,Volunteer at the annual Special Camp Fair helping families of children with disabilities find summer programs.,Special Camp Fair 2012,Strengthening Communities
313,Help clean up tree limbs that came down during Hurricane Irene.,Help Clean Up after Hurricane Irene in Far Rockaway,Emergency Preparedness
314,"Blue Engine recruits, selects, trains, and supports recent college graduates who dedicate one year of service to accelerate academic achievement in high-need public high schools. Since we are still in the early stages of growth, we need driven people to help us get the word out about Blue Engine.",Education Nonprofit Seeks Recruitment Volunteers,Education
315,Girls Write Now is accepting applications for volunteer or for-credit interns for Fall 2011. Interns will gain valuable experience with a fast-growing nationally recognized non-profit organization and also enhance his/her career opportunities in the literary and arts education professions.,School Year Internship: Fall 2011 Program Intern,Education
316,Recruiting outstanding volunteers to collaborate on the boldest nonprofit initiative we know. We are looking for passionate volunteers with exceptional skills to take initiative on different projects. This is an outstanding leadership opportunity in an innovative start-up nonprofit organization,Do you want to make a Difference?   Volunteer at ClassWish.org!,Education
317,Ensure that we have support and gear vehicle drivers ready to provide whatever help or tools a cyclist may need.,SAG (Support & Gear) Vehicle Driver or Assistant Driver,
318,Are you 18 years of age or older?  We have opportunities during the day from 9-3 and in the evening  from  4-10. (There can be some flexibility during the evening shift for those who leave work at 5).   Contact us to schedule your interview today!,Work With Visually Impaired Teens This Summer!,Helping Neighbors in Need
319,"New York’s College Goal Sunday is a service project of the New York State Financial Aid Administrators Association and the New York State Higher Education Services Corp., the state financial aid agency.","New York's College Goal Sunday - February 5, 2012",Education
320,"The American Diabetes Association's largest Latino event of the year – Feria de Salud, scheduled to take place on Saturday, August 27, 2011.",American Diabetes Association - FERIA DE SALUD!,Health
321,"Through our renowned Partnership Program, PENCIL builds and supports customized relationships between business leaders and principals to inspire innovation and transform public schools.",Business Partner- PENCIL Partnership Program,Education
322,Help Cancer Patients with their treatement needs by donating blood or platelets.,Memorial Sloan-Kettering Cancer Center,Emergency Preparedness
323,Work with a team to do fundraising,Fund Raising,Strengthening Communities
324,"Works with the co-producers and Front of House Manager to recruit, screen and organize volunteers for an array of opportunities with one of NYC's leading small opera companies.",Volunteer Coordinator,Strengthening Communities
325,"Warm up the day of a senior!   Deliver a package and visit with an older person for about an hour.    Sunday, Jan. 30, 2010   10:00 am - Noon   DOROT 171 West 85 Street (off Amsterdam Ave.)    Photo ID Required",Deliver a Winter Package and Visit with an isolated Manhattan Senior,Helping Neighbors in Need
326,"HRC seeks enthusiastic and committed volunteers to work with us in our training, overdose, and policy programs. Volunteer duties may include:",Harm Reduction Adv,Strengthening Communities
327,Assist with office work and interact with staff and clients at Brooklyn Home Delivered Meals office.,JASA Home Delivered Meals Office Volunteer,Helping Neighbors in Need
328,Mainchance Drop-In Center for Manhattan's homeless and hungry is seeking a volunteer yoga instructor to continue work with interested clients.,Seeking Volunteer Yoga Instructor,Health
329,The Mayor's Office of Immigrant Affairs is seeking an experienced graphic designer to donate their time and skill to make the NYC Restaurant Owner Manual come to life.,Graphic Designer ,Strengthening Communities
330,"Governor’s Island needs volunteers for programs for  its on-Island partners,such as serving as an Island Ambassador, staffing large public events, maintaining flower beds in the Historic District, or working with children at the Island's Harbor Discovery Area. Sign up at: Bit.ly/GIAVolunteer !",General Call for Governor's Island Volunteers,Strengthening Communities
331,Build a website for an Afghan business,Web designer,Strengthening Communities
332,"Event planning helps an organization coordinate all the moving pieces of a major event, including venue & logistics, invitation, evening program & entertainment, caterers, sponsors, ticketing, and gift bags/auctions/raffles.",Event Planning for Professionals,Strengthening Communities
333,"Become a volunteer with Bike New York, a non-profit Bicycling organization, and give someone the life changing skill of knowing how to ride a bike!",Teach Adults and Kids how to Ride Bikes!,Education
334,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the Asser Levy Recreation Center (392 Asser Levy Place NY, NY, 10010), accessible by the M23 bus and 6 train.",Manhattan/Asser Levy Rec. Center: Water Aerobics Instructor for Shape Up New York,Health
335,Join us as we start our fall volunteer season with events in three areas of Van Cortlandt Park,Fall Forest Restoration Volunteer Kickoff,Strengthening Communities
336,"Monday, April 11, 2011: Our Time seeks volunteers to help with preparations for and coordination of its 9th Annual Benefit Gala, which will be honoring David Seidler, writer of The King's Speech.","Our Time's 9th Annual Benefit Gala - April 11, 2011",Strengthening Communities
337,"NY Artists Unlimited is a 28 year old nonprofit organization that takes free professional theatre and art to under-served audiences. A multicultural company, we tour New York City and the Northeast with works that evoke dignity of the individual and sanctity of the human spirit.",IT Assistant,Strengthening Communities
338,"Volunteers needed for event setup, greeting guests, and run of show for the Battery Gala on June 7th. Dinner will be provided.","""Farm to Feast"" Gala at Battery Park",Strengthening Communities
339,"A Search Engine Optimization (SEO) plan helps an organization's website to rank better organically across various search engines, including Google, Yahoo and Bing. Organic ranking is determined by a variety of factors that include both on the page and off the page elements.",Search Engine Optimization for Professionals,Strengthening Communities
340,The Jewish Museum seeks a volunteer staff development trainer.,Staff Development Trainer,Strengthening Communities
341,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at St. Mary’s Recreation Center (St. Ann’s Avenue at East 145th street, Bronx, NY 10455)",Bronx: Zumba Instructor for Shape Up NYC at St. Mary's Recreation Center,Health
342,Lead a poetry class with our seniors.,JASA St. Martin's Poetry Instructor,Strengthening Communities
343,"he Board of Elections in the City of New York is in need of poll workers to serve at poll sites across the city. The Board is also recruiting bilingual residents fluent in Spanish, Chinese or Korean to serve as  interpreters on Election Day.",Poll Workers and Interperters Needed!,Strengthening Communities
344,"Lenox Hill Neighborhood House, widely recognized as one of New York's premier human services providers, is a 117-year old settlement house that provides an extensive array of effective and integrated services--social, educational, legal, health, housing, mental health, nutritional and fitness.",Summer Spanish or French Instructor,Helping Neighbors in Need
345,Want a meaningful volunteer experience? Come and work one on one with Met Council clients to update their resumes.,Resume Review Workshop Volunteer,Helping Neighbors in Need
346,Volunteers are needed to help the residents and staff of JASA Cooper Square Senior Housing Building with their flea markets.,JASA Cooper Square Thrift Shop Volunteer,Helping Neighbors in Need
347,Help usher for outdoor performances in Queens.,Enjoy Outdoor Theater? --55+ Only,
348,Provide legal services and advice to the agency and ensure our compliance to all applicable NYS non-profit laws and provisions in our day to day functioning.,Legal Advisor,Strengthening Communities
349,"A well-designed proposal budget accompanies an organization’s grant proposal or major ask and may be required by a funder. It amplifies the proposal by providing a well thought-out, specific, and tangible plan for the use of funds.",Grant Proposal Budget for Professionals,Strengthening Communities
350,"Seeking volunteers at various environmental recreation stations and as mobile museum docents for upcoming Maritime Festival and Pirates Fest at IKEA ERIE BASIN. Volunteers will be outfitted in Pirate Costume, or can bring their own-event is on JULY 30th",Volunteer at UDEC ENVIROMEDIA MOBILE's MARITIME BACCHANAL & PIRATES FEST at IKEA ERIE BASIN PARK,Environment
351,"Major Objective: To provide a stable, caring and loving environment for BAW’s animals while they are on medical or behavior treatment; to increase social interaction; and to provide extra attention to nursing animals.",Animal Foster Parent,Strengthening Communities
352,"Comprised of local young professionals who seek to raise awareness, resources, and funds for The Family Center, the Leadership Council celebrates the idea of family with a passionate commitment to serve the needs of families in NYC through the sharing of energy, resources and advocacy.",Leadership Council volunteer opportunity,Strengthening Communities
353,"The Momentum Project needs volunteers urgently to help with our dinner program located on East 106th Street in East Harlem, Manhattan, offering a nutritious hot meal and pantry to take home, as well as social services.",Feed our East Harlem community,Helping Neighbors in Need
354,"Build with Habitat-NYC. Come Pound, Haul, Hammer or Paint at the Habitat-NYC construction site in Brooklyn.",Become a Skilled Volunteer with Habitat-NYC,Strengthening Communities
355,Global Potential (GP) is looking for energetic and motivated volunteer to assist with communication and administrative office matters. Volunteer in this position will perform and oversee a variety of general office support assignments.,Administrative Coordinator,
356,"Starting July 2011. Activities vary week by week, but volunteers will generally assist students in activities including an education enrichment period, singing, computer time, arts and crafts and more. There will also be an all-day trip once a week, on Wednesdays or Fridays.",Summer day camp volunteer,Strengthening Communities
357,"Drupal, PHP & other website programming and design volunteers wanted for the End Poverty Campaign",Seeking Drupal Volunteers for the End Poverty Campaign,
358,Volunteers are paired one on one with tutees to help teach and explain the homework assignments that the tutees have had difficulty with.,Yiddish Speaking Homework Helper Needed,Helping Neighbors in Need
359,A board member search strategy helps an organization build a strong board of directors that is committed to furthering the organization's mission.,Board Member Search Strategy for Professionals,Strengthening Communities
360,Join us as we restore the beautiful John Kieran Nature Trail and the forest.,John Kieran Volunteer Day,Strengthening Communities
361,"A one day free event in June for children featuring over 25 sports activities, nutrition clinics, health screening, entertainment, and vendors. Volunteers will be integral to this event running effectively and providing a place where children can be introduce to new sports and health education.",8th Annual Children's Sports & Fitness Expo,Health
362,What are you doing to honor the 10th anniversary 9/11?  Why not help seniors become better prepared for emergency situations?  Help create and distribute emergency preparedness resources and materials at low income senior housing sites.,9/11 - Emergency Preparedness Fair,Emergency Preparedness
363,Help elementary and middle school aged girls become stronger and healthier by volunteering your time as a soccer coach in an under-resourced Brooklyn community.,Seeds in the Middle - Volunteer Girls Soccer Coach ,Health
364,"VRC is a liaison between volunteers and the non-profit agencies that depend on volunteer support. We will help match your interests, skills, and schedule availability with a non-profit that needs your help.",Find the Perfect Volunteer Job for You!,Strengthening Communities
365,Our website would like to include the work of photographers and artists. A wide range of work is welcome that could enhance our site and help you gain exposure. Choose one or more of the following:,Photography and Art Opportunities,Strengthening Communities
366,"Tracking with Excel, followup with foster parent, prescreen for foster care, mailing",Foster Care Recruiter,Helping Neighbors in Need
367,Take on leadership and organizational role in set up and execution of halloween carnival in park slope,Halloween Carnival Committee ,Strengthening Communities
368,"Help water and care for the 70,000 new street trees that have been planted across New York City! Join the MillionTreesNYC Stewardship Corps and help keep New York City GREEN by coming to a free MillionTreesNYC stewardship workshop",Tree Care Workshop - Queens 4/9,Environment
369,"Coney Island Community Kitchen, all-volunteer Coney Island nonprofit, providing meals for low-income/under poverty line community members, seeks a part-time Soup Kitchen volunteer cook to prepare meals on Fridays. Must be certified, enjoy cooking and giving back to community.",Soup Kitchen Cook,Helping Neighbors in Need
370,An RSVP mentor can make a difference in a child’s life and yours.,Help Transform Lives and Strengthen Communities - Become a Mentor - 55+ Only  ,Education
371,Are you looking for ways to be more physically active? Want to help your community get moving?,BeFitNYC Physical Activity Organizers,Health
372,"Work with groups, ages 6 - 16 and seniors. Help them learn and create artworks that raise public consciousness of the environment and other important issues.",Youth for Change & Seniors for Change Art Programs,Strengthening Communities
373,"High School Goal Weekend!  Saturday, September 24 and Sunday, September 25 9:00am - 3:00pm ~ Brooklyn Tech High School  This event provides 8th and 7th grade students in foster care additional support with the high school planning and application process.",High School Goal Weekend,Education
374,"""Dear Trevor"" is an online, non-time sensitive question and answer resource for young people with questions surrounding sexual orientation and gender identity.",Dear Trevor Authors ,Helping Neighbors in Need
375,The Computer Education Center at Lenox Hill Neighborhood House provides a supportive place for adults of all ages to learn how to use computers in ways that are meaningful to their lives.,Computer Lab Teaching Assistant,Strengthening Communities
376,"During GO School Saturday Tutorial Program, a professional teacher models a lesson, activity or project to a classroom of students.  Volunteer tutors continue to work with small groups of (2) to (4) students on the lesson providing individualized attention which allows the students to thrive.",Saturday Tutors Needed!,Education
377,We are looking for volunteer Leadership and Community Activism Mentors for the Launch It! Summer Workshop program.,Leadership and Community Activism Mentor,Helping Neighbors in Need
378,"Online marketing may include social media marketing, search engine optimization, display advertising on partner sites, brand integration, email blasts, search engine marketing or message board communication.",Online Marketing Plan for Professionals,Strengthening Communities
379,Artichoke Dance Company performs YOUR PLANET: THE HUMAN MAPPING PROJECT at the culmination of beach clean up days to celebrate the earth.,YOUR PLANET: THE HUMAN MAPPING PROJECT,Environment
380,"Help with either Set up or Break down which would consist of doing so with the various tents and activities occuring on that day, i.e. lunch, rest stops, etc.",Event Set Up / Break Down,
381,Restore the forest through invasive removal and tree planting as well as maintenance work along the trail itself,Eastern John Muir Volunteer Day,Strengthening Communities
382,Be a hero in the LGBTQ communities!   Volunteer with the NYC Gay and Lesbian Anti-Violence project.,Take a Stand Against Violence,Strengthening Communities
383,Design and/or craft improvements for our office space,Carpentry and Interior Design,
384,Ubuntu Education Fund seeks a volunteer to assist with all communications and fundraising activities in the New York City office,General Support Volunteer,Strengthening Communities
385,Filing and other office duties,Health Services Office Assistant,Health
386,"Volunteer Day, March 26th 2011, from 9am to 12pm",Park Volunteer ,Strengthening Communities
387,"We will be providing breakfast, snacks, and lunch to our participants and need help distributing the food and insuring organization at the food tent.",Food Tent Volunteer,
388,"Bideawee Greeters will welcome visitors to Bideawee's East 38th Street location when the veterinary practice is open and serve as an information resource, directory and ease visitor's transition into Bideawee's facilities.",Bideawee Greeters,Strengthening Communities
389,"A press (or media) kit is a collection of compelling communications materials that provide important information about an organization, its mission, recent news, and accomplishments. A press kit can be easily distributed to members of the media or to other interested parties.",Press Kit for Professionals,Strengthening Communities
390,Learn how you can directly make a positive impact on youth in Harlem!,Be a Mentor.... Because Every Child Deserves a Chance!,Education
391,"Community Health Advocates (CHA);formerly NYC Managed Care Consumer Assistance Program or NYC MCCAP provides information, advice, and navigational assistance to New Yorkers.",Volunteer-Community Health Advocates,Health
392,"Volunteer at Broad Channel Park in Queens.  Storytelling will take place on Friday mornings in July.  Volunteers will assist with crafts, games, snack distribution and face painting.",Volunteer with Storytelling in the Park-Queens,Strengthening Communities
393,We are looking for artists to do arts programming with middle school and high school age students at the Incatnation Children's Center.  ICC is a nursing facility for children who are HIV positive and living with physical and cognitive disabilities.  Position is from April 16 - 30.,Art Programming at Incarnation Children’s Center,Strengthening Communities
394,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Girl Scout Series - Bronx ,Strengthening Communities
395,Share meals with patients and caregivers that have travelled to NYC for medical treatment and are staying at the Miracle House facility.,Patient and Caregiver Support,Helping Neighbors in Need
396,PAL Brownsville Beacon Center (BBC) seeks dedicated volunteer artists and educators to lead a family engagement arts-based project connecting parents and teens.,Arts Instructors,Strengthening Communities
397,Girls Inc of NYC is looking for volunteers to help distribute Boston Market fundraiser coupons to support its 12th Annual College Shower!,College Shower Fundraisers,Strengthening Communities
398,Get leadership & community organizing training and apply learning to launch a project. T.G.I. Friday's meal provided.,Lanch It! Summer Workshop Student/Volunteer,Strengthening Communities
399,Big Apple Greeter is looking for a volunteer to coordinate the Neighborhood Information Profiles that appear on our website (www.bigapplegreeter.org).,Neighborhood Profiles Coordinator,Strengthening Communities
400,Volunteer needed to translate written materials from English into Russian.,Russian translator,Helping Neighbors in Need
401,"An operating budget provides an organization's leadership with focus to analyze key financial and strategic issues. Budget design and development involves all key stakeholders in the budgeting process, and helps an organization move from reactive to proactive, profitable money management.",Organizational Budget Design and Development for Professionals,Strengthening Communities
402,We are a family of volunteers who are passionate to spread Capoeira experience among the youth and community. We are proud to join the journey with Afro-Brazil-Arts to tell you how to love and be loved by Capoeira,Not-for-profit Volunteer opportunities with pioneer Capoeira arts organization (various positions),Strengthening Communities
403,"An e-newsletter communicates recent developments, news and events to an organization's stakeholders. Timely and thoughtful e-newsletters provide a cost-effective way for an organization to engage supporters and donors while enhancing the organization's brand.",E-Newsletter Writing for Professionals,Strengthening Communities
404,"Volunteers are needed for Bayswater Park's Fall Festival on October 16, 2011.  Duties include crafts, games, face painting and popcorn making. This event will be held in Far Rockaway, Queens.","Lead crafts, games, face painting and popcorn making in Queens!",Strengthening Communities
405,Help an adult with a developmental disability to fulfill his goal of passing his classes. He needs assistance with his remedial math and english classes.,Tutor,Helping Neighbors in Need
406,"Volunteers are needed for a Haunted Lantern Tour in Fort Totten, Queens, in the following areas:singers, clowns, magicians, arts and crafts.",Volunteer at Haunted Lantern Tours at Fort Totten-Queens,Strengthening Communities
407,"Every Sunday at our outreach/information table, Cathedral Community Cares’ volunteers provide information and referrals to clients of the Sunday Soup Kitchen.",Sunday Soup Kitchen Outreach Volunteers,Helping Neighbors in Need
408,"Obtaining funding through corporate sponsorship is fundamental to the success of many events. However, securing corporate sponsorships for events can be challenging and skills involved are very different from those that work in organization’s everyday fundraising.",Event Sponsorship for Professionals,Strengthening Communities
409,The September Concert Foundation produces free concerts in NYC and needs stagehands to set-up and break-down. You would need to be available for a few hours on a day of the concert. It is a great opportunity to see a concert production from inside.,Concert Site Assistants Wanted ,Strengthening Communities
410,"Change your life by changing someone else’s. Tutor young adult males in high school who are aging out of the foster care system. Are you reliable? Social? Do you have a positive attitude? If that was a resounding yes, then see full description...",Young Adult Tutor (Updated 3/30/11),Education
411,"Fly-by-Night is in need of a grant writer or fund-raising person to help with securing funds for their after-school dance program at the Muscota New School, Manhattan.  Their program, free to participants , is focused on keeping students physically active as well as engaging them intellectually.",Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program,Strengthening Communities
412,"Volunteers will help us keep things organized at this fun reuse event where people bring clean, working, portable items they no longer need to share with others. Bring your swimsuit and take a dip in the ocean when the event is over! Volunteers will also help set up and break down.",Volunteer at the Stop 'N' Swap,Strengthening Communities
413,NYAWC is seeking a volunteer to support the efficient operations of the Client Services division.,Client Services and Welcome Desk,Helping Neighbors in Need
414,"Live Out Loud is a nonprofit organization that connects LGBT youth with positive, dynamic role models.  We are seeking a marketing intern who is also able to help develop and execute marketing strategies for our programs and events.",Marketing Intern for Youth Programs Serving LGBT Youth,Strengthening Communities
415,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the East 54th st. Recreation Center (348 East 54th street, NY, NY, 10022), accessible by the E, M trains.",Manhattan/East 54st Rec. Center: Water Aerobics Instructor for Shape Up New York,Health
416,"Big Apple Greeter is looking for a videographer to take videos during our two annual fundraisers, Greeter for a Day outings, and other special events as needed.",Volunteer Videographer,Strengthening Communities
417,"Mentors are asked to meet with their students 4-6 times a year, and maintain monthly contact by phone or email.  SSP organizes events throughout the school year that mentors and students may attend together, or mentors may meet with students on their own – the commitment is flexible.",Mentors ,Education
418,"AAANY is starting workshops to meet the needs of the Arab Immigrant community in the greater NYC area.  We are looking for Volunteers to run workshops covering community empowerment/ information topics ranging from transportation, US laws and regulations, school registration, and health care.",Lead Community Workshop,
419,Volunteers help pack and distribute nutritious groceries to low-income families and individuals.,Pantry Distribution,Helping Neighbors in Need
420,Remove invasive plants and help native trees and shrubs.,Western John Muir Volunteer Day,Strengthening Communities
421,"Please join us and the students from Mott Hall on Saturday, January 29th, for an ice skating trip to Lasker Lanes!",Urban Adventures - Ice Skating at Lasker Rink,Strengthening Communities
422,Do you want to help a public television station make sure it’s revenue comes through?  Become an accounting volunteer and help enter data and update their database.,Do You Enjoy Working on a Computer? --55+ Only,Strengthening Communities
423,Help 6th-8th graders conquer their fear of basic math with individualized tutoring and real-world examples. No prior experience is necessary but motivated volunteers (all ages) who want to help kids succeed are key!,MATH tutors needed!,Education
424,"When you make the commitment to become a mentor, you are making the decision to have a real impact on a young person's life.  Staff will guide you through recreation, enrichment, and academic activities through which you can share your skills, interests, and experiences with your mentee.",Mentor,Education
425,"Print materials such as brochures, one-pagers, event invitations, flyers, and posters serve as valuable marketing tools. To put an organization's best messages forward, a designer combines copy content, photographs, brand, and logo together in a visually interesting and professional manner.",Graphic Design for Professionals,Strengthening Communities
426,we are inviting all New Yorkers to protect their identity by bringing personal documents to be shredded for free at more locations than ever: 16 locations throughout the City. Shred Fest hours are from 10 am to 4 pm.  Shred Fest volunteers will be needed on-site from 9:30 am to 4:30 pm.,Shred Fest 2011!!,Helping Neighbors in Need
427,"We need help in our preschool building where we serve children with autism.  Building is in Douglaston, Queens and we need volunteers for Clerical/Administrative Duties & Cleaning.  QSAC is a non profit agency serving children with autism throughout NYC.  Please help us make a difference today!","Volunteers Sought - School for Autistic, Douglaston Qns.",Education
428,"Help is needed to stuff, seal and stamp approximately 15,000 envelopes, in preparation for the upcoming Purim holiday.",Purim Envelope Stuffing,Strengthening Communities
429,Drivers needed to take individuals to medical appointments.  Very rewarding.  Some people are not able to go to their medical appointments without this assistance.,Be a Driver and Make a Difference - 55+ Only,Helping Neighbors in Need
430,"Hope & Heroes is looking for volunteers for our walk on Saturday, May 21 in Riverside Park! To learn more about the walk please go to www.hopeandheroeswalk.org",Volunteers for a Children's Cancer Walk!,Strengthening Communities
431,"Groundwork, Inc. is hosting a Decision Day pep rally & barbeque in honor of our college bound students! The day also serves as an opportunity to advocate college enrollment throughout the community!",Decision Day 2011 Needs Your Help!!,Strengthening Communities
432,Where to Turn is looking for student volunteers to shovel snow for senior citizens on Staten Islans,SNOW SHOVELING FOR SENIORS,Helping Neighbors in Need
433,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Girl Scout Series - Harlem ,Education
434,Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,Get the tools to volunteer for Recycling!,Environment
435,work closely with NYS licensed ESL teacher to provide instruction to recently arrived immigrants. Classes are in the mornings and evenings. Requires at least 4 hours per week commitment. Teaching experience not required.,ESL Teacher Assistant,Education
436,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Nutrition Workshop for Seniors,Health
437,The NYC Compost Project Master Composter Certificate Course is a train-the-trainer program for persons interested in volunteering to advance on-site composting in NYC.,NYC Compost Project Master Composter Certificate Course,Environment
438,"Volunteers help by conducting adminstrative tasks, such as answering phones, conducting data entry and processing mailings.",Administrative Assistant ,Strengthening Communities
439,"By joining the NYC/CUNY Citizenship Now! Corps you become part of a team that thrives on helping others.  Corps volunteers also enjoy many benefits, including the following",Sign Up for the CUNY - Citizenship Now! Volunteer Corps,
440,The New York City Coalition Against Hunger is seeking a Chinese translator to help with translation work for our “Guide(s) to Free Food & Assistance” (aka “Street Sheets” project).,Chinese Translator Needed,Helping Neighbors in Need
441,Help us tutor Arab Immigrants applying for the US citizenship.  Small group or one-on-one tutoring Training and materials all provided  Requirements: 1) Two Hour weekly commitment 2) Cultural Sensitivity to Arab Immigrants,Volunteer Citizenship Tutor,Helping Neighbors in Need
442,"Fundraising - foundations, direct mail, personal solicitation, business, government a0nd planned giving",Fundraising Volunteer Opportunities,Strengthening Communities
443,"Make tracks for turtles in the WCS Run for the Wild at the New York Aquarium. This 5K-run and Family Fun Run takes place on the boardwalk at Coney Island on Sunday, October 9, and is dedicated to saving turtles",Run for the Wild ,Environment
444,The Friendly Visiting Program needs volunteers to visit homebound seniors in the Bay Ridge/Bensonhurst area of Brooklyn.,Volunteers Needed in Bay Ridge/Benonhurst Area of Brooklyn to visit Homebound Seniors!,Helping Neighbors in Need
445,"Currently looking for volunteer mentors and instructors who will work on a team to provide SAT test prep, writing and critical thinking instruction, mentoring, and college prep services.",Volunteer Instructors/Teachers/Mentors,Education
446,The HAI Arts Workshops department is looking for one intern to work 30 hours each week for the 2010-2011 academic year.,Arts Workshops Intern Needed,Strengthening Communities
447,A volunteer who can screen movies about nutrition and fitness for low-income seniors in Brooklyn.,Movie screener for Seniors,Health
